15 a 17 - Taxa de Mortalidade por Neoplasias 
Tx Mort Total Neoplasias por Município e Ano
Período:2018
"Município";"2018";"Total"
"353060 Mogi das Cruzes";118,89;118,89
"353070 Mogi Guaçu";147,06;147,06
"353080 Moji Mirim";128,15;128,15
"353090 Mombuca";120,48;120,48
"353100 Monções";138,31;138,31
"353110 Mongaguá";156,69;156,69
"353120 Monte Alegre do Sul";170,11;170,11
"353130 Monte Alto";139,27;139,27
"353140 Monte Aprazível";138,04;138,04
"353150 Monte Azul Paulista";114,54;114,54
"353160 Monte Castelo";124,97;124,97
"353180 Monte Mor";113,20;113,20
"353170 Monteiro Lobato";113,69;113,69
"353190 Morro Agudo";110,42;110,42
"353200 Morungaba";115,76;115,76
"353205 Motuca";109,43;109,43
"353210 Murutinga do Sul";257,97;257,97
"353215 Nantes";133,33;133,33
"353220 Narandiba";253,86;253,86
"353230 Natividade da Serra";134,53;134,53
"353240 Nazaré Paulista";160,74;160,74
"353250 Neves Paulista";127,04;127,04
"353260 Nhandeara";194,68;194,68
"353270 Nipoã";61,95;61,95
"353280 Nova Aliança";189,21;189,21
"353282 Nova Campina";74,27;74,27
"353284 Nova Canaã Paulista";203,05;203,05
"353286 Nova Castilho";171,38;171,38
"353290 Nova Europa";143,36;143,36
"353300 Nova Granada";174,94;174,94
"353310 Nova Guataporanga";137,05;137,05
"353320 Nova Independência";221,79;221,79
"353330 Nova Luzitânia";177,85;177,85
"353340 Nova Odessa";79,27;79,27
"353325 Novais";112,38;112,38
"353350 Novo Horizonte";145,44;145,44
"353360 Nuporanga";194,90;194,90
"353370 Ocauçu";144,65;144,65
"353380 Óleo";235,29;235,29
"353390 Olímpia";151,76;151,76
"353400 Onda Verde";216,40;216,40
"353410 Oriente";112,34;112,34
"353420 Orindiúva";120,48;120,48
"353430 Orlândia";95,69;95,69
"353440 Osasco";118,92;118,92
"353450 Oscar Bressane";278,00;278,00
"353460 Osvaldo Cruz";157,00;157,00
"353470 Ourinhos";130,22;130,22
"353480 Ouro Verde";73,40;73,40
"353475 Ouroeste";189,17;189,17
"353490 Pacaembu";175,71;175,71
"353500 Palestina";75,24;75,24
"353510 Palmares Paulista";111,16;111,16
"353520 Palmeira d'Oeste";108,66;108,66
"353530 Palmital";120,80;120,80
"353540 Panorama";145,91;145,91
"353550 Paraguaçu Paulista";134,67;134,67
"353560 Paraibuna";149,50;149,50
"353570 Paraíso";112,87;112,87
"353580 Paranapanema";133,22;133,22
"353590 Paranapuã";232,02;232,02
"353600 Parapuã";170,31;170,31
"353610 Pardinho";112,43;112,43
"353620 Pariquera-Açu";136,17;136,17
"353625 Parisi";194,93;194,93
"353630 Patrocínio Paulista";49,39;49,39
"353640 Paulicéia";157,41;157,41
"353650 Paulínia";100,08;100,08
"353657 Paulistânia";225,73;225,73
"353660 Paulo de Faria";152,44;152,44
"353670 Pederneiras";100,50;100,50
"353680 Pedra Bela";118,04;118,04
"353690 Pedranópolis";122,70;122,70
"353700 Pedregulho";136,08;136,08
"353710 Pedreira";100,84;100,84
"353715 Pedrinhas Paulista";100,10;100,10
"353720 Pedro de Toledo";92,47;92,47
"353730 Penápolis";147,44;147,44
"353740 Pereira Barreto";134,31;134,31
"353750 Pereiras";194,17;194,17
